0	avoir trové	queria fallar muy de grado|e luego le conto todo	0|1
1	Si li conte tote s aventure issi com vos avés oi dire ça arrieres	como le auia conel contesçido|asi como el cuento lo a deuisado	2|3
2	tant qu il conoist bien	e luego entendio boores	4
3|4	que c est il qu ele quiert a|Mais por le coros de la mort al seneschal ne se volt fere conoistre	que ael andaua ella buscando mas porel pesar dela muerte del senescal no se quiso fazer conosçer antele rrespondio çierto donçella al cauallero	5
5|6	ains li respont Certes|damoisele	que traia blancas armas no conozco yo Pardios dixo la donçella mucho me Pesa caramjente	6
7|8	chevalier|qui porte escu blanc ne conois je nul	e boores non quiso conella mas estar	7
9|10	— En non Dieu|sire	e acomendo la a dios	8
11	fet ele	e fuese	9
12	ce poise moi chierement	e andubo tanto|que salio dela floresta	10|11
13	Et il n en tient plus a li parole	e dexo el camino	12
14|15	ains part|si tost com il l ot commandee a Dieu a	e tomo a mano derecha vn camino pequeño	13
16|17	et chevalche en tel maniere jusqu a tierce tant qu il vint a l issue de la forest;|et il torne a destre vers un chemin viés	e biejo lleno de yerba	14
18	et ancien;	e non andubo mucho	15
19	si ne demora gueres qu il vint a une eve P lee	porque llego a vn valle|Por do corria vn agua muy negra	16|17
20	et parfonde	e fea|e fonda	18|19
21	mais il n i trueve pont ne gué ne passage nul	e non fallo puente|por do Pudiese pasar	20|21
22|23	Et il regarde d autre part de l eve|si voit I	e cato dela otra parte Del agua	22
24|25	petit chastel molt bien seant|clos de mur bateillié tot entor a la roonde	e vio vn castillo muy bien asentado çercado de muy buen muro todo enderredor	23
26	ll regarde grant piece le chastel	e el cato gran pieça el castillo	24
27	dont la façons li plest molt a regarder	ca mucho se pagaua delo catar	25
28	puis s en torne contreval la riviere por savoir s il i peust trover ne pont ne gué	e despues torno la rribera ayuso|Por saber	26|27
29	mais il n en trueve point	si podria fallar puente|Por do pasase mas el no pudo fallar ninguna	28|29
30|31	et quant il voit qu il n i passera|si ne set	e boores desque esto vido no sabia	30
32	que fere	que se façer	31
33	que retorner ne voldroit il mie	ca el no se queria tomar en ninguna manera	32
34|35	Atant voit issir del chastel une damoisele|qui ert tote nue en sa chemise	Ansi estando vio del castillo salir vna donçella en camisa	33
36	si le menoient troi vilain molt vilainement a	que traian quatro rribaldos muy sañudamente	34
37	et tenoit chescuns une hache en sa main;	e cadavno traia enla mano vna lança	35
38	et ele crioit quanque ele pooit crier por els	e ella daua vozes	36
39	qui li faisoient tel honte	quanto podia dar	37
40	et tel laidure qu il la venoient batant tot contreval la riviere	e ellos la lleuaron muy desonrrada mente contra la rribera porla yr ha echar	38
41|42	Et quant la damoisele vit le chevalier de l autre part de ! l eve|si commence a crier Ha	e quando la donçella vio a bores dela otra parte del agua començo a dar vozes	39
43|44	gentilz chevaliers|secorés ceste damoisele	e a deçir ay jentil cauallero acorred a esta donçella	40
45	que cist ribaut vuelent ocirre	que estos Ribaldos me quieren|ansi matar ay buen cauallero	41|42
46|47	Ha|frans hom	si nunca oviste piedad de donçella auelda agora de mi	43
48	ne m i laissiés morir	e no me dexedes|asi morir	44|45
49|50	se vos onques eustes pitié de nule gentil damoisele|Quant Boors ot ce qu ele li prie	Quando boores oyo	46
51|52	si pitousement qu'il la secore|si ne set	lo que la donçella deçia no supo	47
53	que fere	que façer	48
54	kar volentiers li aidast s il peust;	ca muy de grado la quisiera acorrer	49
55	mais il voit l eve noire	si pudiese Mas el agua hera muy fonda	50
56	et parfonde	e peligrosa	51
57	et si perilluse qu il cuide bien noier	e negra|e bien cuidaua morir	52|53
58	s il se met dedens;	si se y Metiese	54
59	et d'autre part il voit cele	e dela otra parte veya la donçella	55
60	qui si durement crie merci;	que muy afincada mente le pedia merçed	56
61	si l'em prent tels pitiés qu il en laisse totes poors	e ovo tal piedad della|que le fiço todo el miedo perder	57|58
62	et fet le signe de la crois en mi son vis	e fiço la señal dela cruz sobre	59
63	puis enbrace l escu	si e enbraço el escudo	60
64	et broche le cheval des esperons	e firio al cauallo de las espuelas	61
65	et se fiert en l eve	e lanço se en el agua	62
66|67	Et li chevals fu fors|si commence a noer	e el cauallo començo de nadar	63
68	si tost com il ot terre perdue	luego e perdio tierra en tal manera	64
69	si l enporte d autre part de la rive a quelque paine	que paso dela otra parte del agua mas ante beuio el cauallo del agua|e si el caballo tan bueno no fuera sin dubda el moriera enel agua	65|66
70	mais ançois ot beu de l eve li uns	e boores porel peso delas armas|que llebaua	67|68
71|72	et li autre|et se li chevals ne fust	e desque fue dela otra Parte del agua dexo se correr aquel	69
73|74	si buens|noié fuissent ambedui	los que la donçella tenian	70
75	kar li chevaliers estoit pesans por les armes qu il avoit vestues	e firio al primero|que encontro en tal manera	71|72
76	Quant il fu de l autre part de l eve	que le metio la lança porel cuerpo|e los otros dos	73|74
		que aquello vieron fuyeron	75
		luego por miedo de no ser muertos	76
		ca todos estauan desarmados	77
		e la donçella desque aquello vido finco los ynojos ante boores	78
		e dixo ay jentil cauallero vendito seades de dios	79
		que asi me librastes de muerte	80
		e bendito sea dios	81
		que aqui vos traxo	82
		que estos villanos me hubieran muerto	83
		si por vos no fuera donçella dixo boores	84
		Por que señor dixo ella yo vos lo dire mas ante conuiene	85
		que non aya miedo de ninguno Donzella dixo boores de quien auedes miedo señor dixo ella del señor del castillo	86
		ca es el mas follon omne de todo el mundo	87
		e mas cruel Ellos	88
		asi fablando vieron salir del castillo vn caballero	89
		e quando vido a boores començo le a dar boçes	90
		e a deçir don cauallero a dexar vos conuiene la donzella	91
		ca la non lleuaredes	92
		e porla my cabeza ental Punto la acorristes	93
		e luego se dexaron correr el vno contra el otro	94
		e boores lo firio conla lança	95
		que auia sacado del cuerpo del villano	96
		que auia muerto en tal manera	97
		que dio conel Porlas ancas del cauallo a tierra	98
		asi estordido	99
