-i,ii-48,-o,lancelot_1,-mw
avoir trové,auoir troue fait elle,Sire fait ele porce que io le uodroie auoir troue,queria fallar muy de grado e luego le conto todo,Sire fait elle pour ce que ie le uoudroie auoir trouue,Sire fait elle enuellopee quil ne la pouoit cengnoistre pour pour ce que ie le uouldroie auoir trouue,avere trovato
Si li conte tote s aventure issi com vos avés oi dire ça arrieres tant qu il conoist bien que c est il qu ele quiert a Mais por le coros de la mort al seneschal ne se volt fere conoistre ains li respont Certes damoisele chevalier qui porte escu blanc ne conois je nul,si li conte toute sauenture si com li contes la retrait cha en arriere Tant que il connoist bien quele le quiert Mais pour le courous quil a del senescal ne se volt il faire aconnoistre Ains li respont Certes damoisele le cheualier qui porte blanches armes ne connois iou mie,Si li conte tote sauenture ainsi con li contes la retraite Tant que il quenoit bien que cest ele que il le quiert mais por le corrous quil auoit de la mort au seneschal: ne se wet faire quenoistre a li si li dit Certes damoisele qui port escu blanc ne sai ie nul,como le auia conel contesçido asi como el cuento lo a deuisado e luego entendio boores que ael andaua ella buscando mas porel pesar dela muerte del senescal no se quiso fazer conosçer antele rrespondio çierto donçella al cauallero que traia blancas armas no conozco yo Pardios dixo la donçella mucho me Pesa caramjente e boores non quiso conella mas estar,si luy compte toute sauanture ansi comme le comte la dit cy deuant tant que il cognoist bien que cest il quelle quiert Mais pour le courroux quil a de la mort au seneschal ne se ueult il faire cognoistre Certes damoisele de celle mesmes matiere dessus dicte ie ne scay nul cheualier qui porte escu blanc,si luy compte toute son auanture tant quil cengnoit bien que cest celle qui le quiert Mais pour le couroust quil a du sencchal et de sa mort ne se uoult faire congnoistre mes leur respont certes damoiselle ie ne cengnois mie le cheualier qui porte les blances armes,Si gli conta tutta sua aventura si come el libro l à trattato qua adietro tanto che conosce bene che ciò est elli quelli cui ella chiede ma per lo cruccio ch egli à della morte del siniscalco non si vuole fare cognoscere anzi le risponde 'Certo damigella il cavaliere che porta lo scudo bianco non ne so io nulla
— En non Dieu sire,Enon dieu sire fait elle che poise moi moult durement,,e acomendo la a dios,,En nen dieu fait elle il me poyse monlt chierement,—A nome di Dio dis ella ciò pesa a mes
fet ele ce poise moi chierement Et il n en tient plus a li parole ains part si tost com il l ot commandee a Dieu a,ors le commande a dieu & puis sen part de li,En no dieu fait ele de ce me poise il trop durement et il ne tient plus a li parole Ains sen part si tost comme il lot comandee a dieu,e fuese e andubo tanto que salio dela floresta e dexo el camino e tomo a mano derecha vn camino pequeño,Certes sire fait elle ce me poise et il ne tient plus parole a luy ains sem part si tost quil leut commandee a dieu,A donc sen part et ne uoult plus parler il la commandee a dieu et sen ua,E non tenne più a llei parole anzi si parti si tosto come l à comandata a dDio
et chevalche en tel maniere jusqu a tierce tant qu il vint a l issue de la forest; et il torne a destre vers un chemin viés et ancien;,& cheuauche en tel maniere iusques a tierce Tant que il vint a lissue de la forest et torne a destre en vn petit chemin viez,et cheuauche en tel maniere tant quil uient a lissue de la forest et il torne a destre uers lr chemin uiee et acien,e biejo lleno de yerba e non andubo mucho,et cheuauche en telle maniere iucqua tierce tant quil uient a lissue de la fourest et il tourne a destre vers ung chemin uieil et ancien,et cheuauche iusques a tierce eustes onques pitie de nulle gentille dane aies tant quil uint a lissue de la forest et il tourna a destre uers ung petit chemyn uieil:,e cavalca tanto in tale maniera infino qua a terza tanto che viene a l uscita della foresta Ed e torna a destra inverso uno camino vecchio e antico
si ne demora gueres qu il vint a une eve P lee,Si ne demora gaires quil vint en vne moult grant ualee ou il couroit vne aigue grant et roide,Si ne demora gaires quil uient a une eue lee,porque llego a vn valle Por do corria vn agua muy negra,Si ne demoura gueres quil uient a une caue lee,si ne demoura gueres quil uint en une uallee ou il couroit une eau monlt roidde la quelle estoit grande,si non dimora guari che viene a una acqua lata
et parfonde mais il n i trueve pont ne gué ne passage nul,et parfunde mais il ni troeue ne pont ne passage,et parfonde mais il ni trueue ne pont ne gue ne passaige nul,e fea e fonda e non fallo puente por do Pudiese pasar,et parfonde mais il ny treuue pont ne gue ne passage nul,et parfonde et ne treuue ne pont ne planche par ou il puisse passer,e perfonda ma e' non vi truova né ponte né guado né passaggio nullo
Et il regarde d autre part de l eve si voit I petit chastel molt bien seant clos de mur bateillié tot entor a la roonde ll regarde grant piece le chastel,Et il regarde de lautre part de laigue si y uoit j castel moult bien seant clos de mur bateillie tout entor a la reonde Il regarde le chastel grant piece,et lors regarde il dautre part de leue Si uoit i petit chastelet moult bien feant qui estoit clos de murs batilliez de toutes pars enuiron a la roonde Il esgarde Longuement le chastel,e cato dela otra parte Del agua e vio vn castillo muy bien asentado çercado de muy buen muro todo enderredor e el cato gran pieça el castillo,et il regarde de lautrepart de leaue si uoit ung petit chastel moult bien seant clos de mur bataille tout entour a la ronde Il regarde grant piece le chastel,Sy regarde de laultre part de leaue et uoit ung beau chastel monlt bien seant et bien cloz de muraille tout entour Il regarde le chastel grant pieche,Ed elli isguarda d altra parte dell acqua si vide uno piccolo castello molto ben sedente chiuso d uno muro battagliato tutto intorno alla ritonda eElli riguarda gran peza il castello
dont la façons li plest molt a regarder puis s en torne contreval la riviere por savoir s il i peust trover ne pont ne gué,dont la fachons li plaisoit moult a regarder puis sen torne contremont la riuiere pour sauoir se il troueroit ne pont ne gue,dont Ia fasons li plait moult a esgarder et puis sen torne tot contreual la riuere Por sauoir se il i troueroit ne pont ne gue,ca mucho se pagaua delo catar e despues torno la rribera ayuso Por saber,dont la facon luy plaist moult a regarder puis sen retourne tout contreual la riuiere pour sauoir sil pourroit trouuer ne pont ne gue,car monlt luy plaisoit a uoir puis sen tourne contre ual la riuiere pour scauoir sil pouroit trouuer ne pont ne gue par le quel il puisse passer,donde la fazion gli piace molto al riguardare poscia ritorna tutto contravalle la riviera per sapere se potrebbe trovare né ponte né guado ma
mais il n en trueve point,mais il ni trueue nul passage,mais il nen i trurue point :,si podria fallar puente Por do pasase mas el no pudo fallar ninguna,Mais il ny en treuue point,mes il nen truue point,e non ve ne truova punto e quand
et quant il voit qu il n i passera si ne set,Et quant il voit chou si ne set,si ne sot,e boores desque esto vido no sabia,Et quant il uoit quil ne puet passer si ne scet,Et il uoit ce si ne scait,e vede che non potrà passare si non sa
que fere que retorner ne voldroit il mie Atant voit issir del chastel une damoisele qui ert tote nue en sa chemise,que faire quar retorner ne volroit il en nulle maniere Lors uoit issir del castel vne damoisele toute nue en sa chemise,que faire car retorner ne wet il mie atant uoit issir une damoisele dou chastel qui estoit tote nue en sa chemisse,que se façer ca el no se queria tomar en ninguna manera Ansi estando vio del castillo salir vna donçella en camisa,que faire car retourner ne uouldroit il pas Adonc uoit yssir du chastel une damoisele qui estoit toute nue en sa chemise,que faire car retourner ne uoulloit pas A tant uoit yssir une damoiselle du chastel la quelle estoit toute nue en sa chemise,che fare ché ritornare non vorebbe elli mica Atanto vide uscire una damigella del castello ch era tutta ignuda in sua camicia solamente
,,si la menoient,,,,
si le menoient troi vilain molt vilainement a,si le menoient iiij,iiii tre ribaus moult uilment,que traian quatro rribaldos muy sañudamente,si la menoyent quatre nibaux moult uilainement,sy la menoient quatre ribaulx monlt felonneusement,si lla menavano iiii rubaldi molto villanamente
,ribaut moult felenessement,,,,,
et tenoit chescuns une hache en sa main;,et tenoit Cascuns en sa main i,et tenoit chascuns une hache en sa main,e cadavno traia enla mano vna lança,et tenoit ch̃un une hache en sa main,et tenoient chascun en sa main ung coustel trenchant,e tenieno ciascuno una acciaia in sua mano
et ele crioit quanque ele pooit crier por els,coutel trenchant Et elle crioit quamque elle pooit por chiaus,et ele crioit quantque le pooit crier por ciax,e ella daua vozes,et elle crioit tant quelle pouoit crier pour ceulx,Et la damoiselle crioit tant comme elle pouoit pour la laidure,Ed ella grida quanto ch ella può gridare per coloro
qui li faisoient tel honte,qui li faisoient tel laidure,qui li fasoient tele honte,quanto podia dar,qui luy faisoient tel honte,et honte que telx ribaulx luy faisoient,che lle facieno cotale onta
et tel laidure qu il la venoient batant tot contreval la riviere,quar il lenmenoient tot contreual la riuiere batant,et tel laidure que il la menoient batant tout contrtual la riuiere t,e ellos la lleuaron muy desonrrada mente contra la rribera porla yr ha echar,et telle laidure qui la uenoient batant tout contreual la riuiere,et la menoient batant contre ual la riuiere,e tal ladiura ch elli la menavano battendo tutto contravalle la riviera
Et quant la damoisele vit le chevalier de l autre part de ! l eve si commence a crier Ha gentilz chevaliers secorés ceste damoisele,Et quant elle vit le cheualier de lautre part de laigue si li commenche a crier Ha : gentils homs quar secoures ceste damoisele,quant la damoisele uoit le cheualier dautre part la riuiere si li comance a crier ha: gentis cheualiers secores ceste damoisele,e quando la donçella vio a bores dela otra parte del agua començo a dar vozes e a deçir ay jentil cauallero acorred a esta donçella,Et quant la damoisele uoit le cheualier de lautre part de leaue si luy commence a crier haa gentili cheualier secourez ceste damoisele,Et quant la damoyselle uoit le cheualier de lautre coste de la ry uiere commenca a crier et dire en tell maniere Haa beau et gentil cheualier secoures ceste damoiselle,E quando la damigella vide lo cavaliere dall altra parte dell acqua si gli comincia a gridare Hal gentile huomo soccorete questa damigella
que cist ribaut vuelent ocirre Ha frans hom ne m i laissiés morir se vos onques eustes pitié de nule gentil damoisele Quant Boors ot ce qu ele li prie,que cist ribaut voelent ochirre Pour dieu ne mi laissies ore mie morir se vous eustes onques pitie de nulle damoisele ne de nulle gentil dame Quant bohors oy que la damoisele li prioit,que ciz ribaut wellent ocire ha; frans hons ne mi laissiez morir se uos eutes onques pitie de franche damosele Quant bohort oit cele,que estos Ribaldos me quieren ansi matar ay buen cauallero si nunca oviste piedad de donçella auelda agora de mi e no me dexedes asi morir Quando boores oyo,que ces ribaux ueulent occire Haa franc homme ne me lessez mourir si uous eustes onc pitie de nulle gentilz damoisele quant boort ouy celle qui le prie,que ces ribaulx ueullent occire haa franc homme fait elle me lesres uous ainsi mourir entre les mains de telx paillars et se uous pitie de moy car se uous ne me secoures ie suys a la mort liurer Et quant boort ouyt quelle le prioit,che questi rubaldi vogliono uccidere Hal franco cavaliere non mi lasciate uccidere se voi unque aveste piatà di nulla gentile damigella “Quando Boordo ode colei che l priega
si pitousement qu'il la secore si ne set,si piteusement de li secorre si One sot,que si piteusement lapele et li prie quil la sekeure Sire set,lo que la donçella deçia no supo,si piteusement quil la sequeure il ne scait,si piteusement si ne scait,si piatosamente che lla soccorra si non sa
que fere kar volentiers li aidast s il peust;,que faire quar volentiers li alast aidier sil peust estre,que faire car uolentiers li alait aidier se il poist,que façer ca muy de grado la quisiera acorrer,que faire car uoulentiers luy alast aider sil peust,que faire car uoulentiers luy allast aider se il peult estre,che fare ché volentieri l andasse ad atare se potesse ma
mais il voit l eve noire,mais il voit laigue parfonde,Mais il uoit leue,si pudiese Mas el agua hera muy fonda,mais il uoit leaue parfonde noire,mes il uoit la riuiere parfonde,e vede l acqua nera e profonda
et parfonde,& perillouse,si parfonde,e peligrosa,et perilleuse,et dangereuse a passer,e perigliosa
et si perilluse qu il cuide bien noier s il se met dedens;,et noire si quide bien morir se il si met,et si perilleuse que il cuide bien perir se il se met dedans,e negra e bien cuidaua morir si se y Metiese,que il cuide bien mourir sil si mect dedans,et scait bien sil entre dedens qu il se met en peril de mort,che crede bene morire s elli si mette di dentro
et d'autre part il voit cele,Et dautre part voit il cels,et dautre part il uoit cele,e dela otra parte veya la donçella,Et dautre part il uoit celle,Et daultre part il uoit celle,e d altra parte e vede colei
qui si durement crie merci;,qui si piteusement li crie merci,qui si docement li prie nc ci,que muy afincada mente le pedia merçed,qui si fort luy crie mercy,qui si piteusement fui crie mercy,che si duramente gli grida mercé
si l'em prent tels pitiés qu il en laisse totes poors,si len prent tele pitsiles quil en laisse toute paour,Si len prent tes pitiez quil en laisse totes paours,e ovo tal piedad della que le fiço todo el miedo perder,si luy en prent telle pitie quil en laisse toute paour,Si luy en prent telle pitie quil en laisse toute paour,si ne gli prende tale piatà che ne lascia tutte paure
et fet le signe de la crois en mi son vis puis enbrace l escu,et met le signe de la vraie crois en mi son front & en mi son pis puis enbrace son escu,Si fait le signe de la crois enmi son uis puis enbrace lescu,e fiço la señal dela cruz sobre si e enbraço el escudo,si en fait le signe de la croix enmy son uis puis embrace lescu,et fait le signe de la croix deuant son uisaige puys embrache son escu,e si fa el segno della santa croce nel miluogo del suo viso poscia imbraccia lo scudo
et broche le cheval des esperons,et fiert le cheual des esperons,et broche le cheual des esperons,e firio al cauallo de las espuelas,et broche le cheual des esperons,et fiert son cheual des esperens,e broca il cavallo degli sproni
et se fiert en l eve Et li chevals fu fors si commence a noer,et se lance en laigue Et li cheuaus commence a noier:,et se fiert en leue tot errantment Et li cheuaus fu fors si comance a noer,e lanço se en el agua e el cauallo començo de nadar,et se fiert erraument en leaue et le cheual fu fort si commence a nouer,et se lanche dedens leaue tout erraument: et le cheual commence a noer,si fiede nell acqua isnellamente El cavallo fu forte incominciò a notare
si tost com il ot terre perdue,si tost quil a terre perdue,si tost con il ot ntre perdue,luego e perdio tierra en tal manera,si tost quil eut terre perdue,si tost quil eust terre perdue,si tosto com'elli ebbe terra perduta
si l enporte d autre part de la rive a quelque paine mais ançois ot beu de l eve li uns,si lenporte de lautre part a grant paine mes aincois ot beu de laigue li vns,si lenporte dautͤ part la riue a quelque painne,que paso dela otra parte del agua mas ante beuio el cauallo del agua e si el caballo tan bueno no fuera sin dubda el moriera enel agua e boores porel peso delas armas que llebaua,si lemporte de lautre part de ma riue a quelque peine mais ancois eut beu de leaue lun,et sen passe le cheual iusques de laultre part de leaue mes ce fust a grant paine car ains quilz feussent passes beurent de leaue lun,si ne l portò d altra parte della riva a qualche pena 'ma inanzi furono amenduni tutti molli e se l cavallo non fosse stato si forte anegati fossono amenduni ché l cavaliere era pesante per l arme ch elli avea vestite
et li autre et se li chevals ne fust si buens noié fuissent ambedui,& li autres Et se li cheuaus ne fust si boins noie fussent ambedui Car li cheualiers estoit pesans pour lez armes quil auoit uestues si en fu moult en peril,Si ne descendi pas ains cort uers ciax qui la damoisele renoient,e desque fue dela otra Parte del agua dexo se correr aquel los que la donçella tenian,et lautre et se le cheual ne eust este si bon ilz fuszent tous deux noyez,et laultre et se le cheual neust este fort et bon ilz feussent noyes et lun et laultre,Quand e fu da l altra parte dell acqua si non discende passo anzi muove il cavallo inverso di coloro che lla T tenieno e fiede si il primaio ch elli agiugne che gli mette la lancia per me' il corpo si llo abatte a terra e gli altri se ne fugono tosto per ciò che disarmati erano E la damigella
,,,,,,che si vide dilivera
kar li chevaliers estoit pesans por les armes qu il avoit vestues,uant bohors ot passe laigue pour la damfolisele secorre ainsi que vous poes oir,que il consieut quil li met le glaiue parmi le cors si labat mort aterre,e firio al primero que encontro en tal manera,car le cħlr estoit pesant pour les armes quil auoit uestues,car le cheualier estoit fort pesant pour les armes quil auoit uestues Quant il fut de lautre part de leaue,si mette a ginocchia davanti Boordo Hal gentile cavaliere diss ella da Dio siate vo' benedetto quando vo m avete di morte riscossa
,,,,,si ne descendist oncques ains courust uers ceulx,
,,,,,qui la damoiselle tenoient:,
,,,,,et fiert tellement le premier quil encontre qu il lui met le glauie parmy le corps,
Quant il fu de l autre part de l eve,si ne descendi mie ains cort sus a chiaus,et li autre sen fuient porre q̾l estoient desarme,que le metio la lança porel cuerpo e los otros dos,Quant il fu de lautre part de leaue si ne descendy pas,si labat a terre et les autres se met tent en fuite,e adorato ne sia lddio quand elli in queste parti vo menò ché questi guiglioni m avessono già morta se vo' non foste — Damigella disse Boordo perché
