lanzarote-ii-48	lancellotto-ii-48	micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48
queria fallar muy de grado e luego le conto todo	avere trovato Si gli conta tutta sua aventura	avoir trové	porce	auoir troue fait elle si li conte toute sauenture	Sire fait elle pour ce	Sire fait elle enuellopee quil ne la pouoit cengnoistre pour
como le auia conel contesçido asi como el cuento lo a deuisado	si come el libro l’à trattato qua adietro	Si li conte tote s’aventure issi com vos avés oi dire ça arrieres	que io le uodroie auoir troue Si li conte tote sauenture ainsi com li contes la retraite Tant que il quenoit bien	si com li contes la retrait cha en arriere	que ie le uoudroie auoir trouue si luy compte toute sauanture ansi comme le comte la dit cy deuant	pour ce que ie le uouldroie auoir trouue si luy compte toute son auanture tant quil cengnoit bien que cest celle
e luego entendio boores	tanto che conosce bene	tant qu’il conoist bien	que cest ele que il le quiert	Tant que il connoist bien quele le quiert	tant que il cognoist bien	qui le quiert
que ael andaua ella buscando mas porel pesar dela muerte del senescal no se quiso fazer conosçer antele rrespondio çierto donçella al cauallero	che ciò est elli quelli cui ella chiede ma per lo cruccio ch’egli à della morte del siniscalco non si vuole fare cognoscere anzi le risponde	que c’est il qu’ele quiert a Mais por le coros de la mort al seneschal ne se volt fere conoistre	mais por le corrous quil auoit de la mort au seneschal: ne se wet faire quenoistre a li si li dit	Mais pour le courous quil a del senescal ne se volt il faire aconnoistre	que cest il quelle quiert Mais pour le courroux quil a de la mort au seneschal ne se ueult il faire cognoistre Certes damoisele de celle mesmes matiere dessus dicte ie ne scay nul cheualier	Mais pour le couroust quil a du sencchal et de sa mort ne se uoult faire congnoistre mes leur respont certes damoiselle ie ne cengnois mie le cheualier
				Ains li respont		
			Certes damoisele			
	'Certo damigella il cavaliere					
que traia blancas armas no conozco yo Pardios dixo la donçella mucho me Pesa caramjente	che porta lo scudo bianco non ne so io nulla —A nome di Dio dis’ella ciò pesa a mes	ains li respont Certes damoisele	qui port escu blanc ne sai ie nul En no dieu fait ele de ce me poise il trop durement	Certes damoisele le cheualier qui porte blanches armes ne connois iou mie	qui porte escu blanc Certes sire fait elle ce me poise	qui porte les blances armes En nen dieu fait elle il me poyse monlt chierement
e boores non quiso conella mas estar e acomendo la a dios e fuese	E non tenne più a llei parole anzi si parti si tosto come l’à comandata a dDio	chevalier qui porte escu blanc ne conois je nul — En non Dieu sire fet ele	et il ne tient plus a li parole Ains sen part	Enon dieu sire fait elle che poise moi moult durement Lors le commande a dieu et puis sen part de li	et il ne tient plus parole a luy ains sem part si tost quil leut commandee a dieu	A donc sen part
e andubo tanto que salio dela floresta e dexo el camino e tomo a mano derecha vn camino pequeño e biejo lleno de yerba e non andubo mucho porque llego a vn valle Por do corria vn agua muy negra	e cavalca tanto in tale maniera infino qua a terza tanto che viene a l’uscita della foresta Ed e torna a destra inverso uno camino vecchio e antico si non dimora guari	ce poise moi chierement Et il n’en tient plus a li parole ains part si tost com il l’ot commandee a Dieu a et chevalche en tel maniere jusqu’a tierce tant qu’il vint a l’issue de la forest; et il torne a destre vers un chemin viés	si tost comme il lot comandee a dieu et cheuauche en tel maniere tant quil uient a lissue de la forest et il torne a destre uers le chemin uiee et acien Si ne demora gaires quil uient a une eue lee	et cheuauche en tel maniere iusques a tierce Tant que il vint a lissue de la forest et torne a destre en vn petit chemin viez Si ne demora gaires quil vint en vne moult grant ualee ou il couroit vne aigue grant et roide	et cheuauche en telle maniere iucqua tierce tant quil uient a lissue de la fourest et il tourne a destre vers ung chemin uieil et ancien Si ne demoura gueres quil uient a une caue lee	et ne uoult plus parler il la commandee a dieu et sen ua et cheuauche iusques a tierce eustes onques pitie de nulle gentille dane aies tant quil uint a lissue de la forest et il tourna a destre uers ung petit chemyn uieil: si ne demoura gueres quil uint en une uallee ou il couroit une eau monlt roidde la quelle estoit grande
e fea e fonda	che viene a una acqua lata	et ancien; si ne demora gueres qu’il vint a une eve P lee et parfonde	et parfonde	et parfunde	et parfonde	et parfonde
e non fallo puente por do Pudiese pasar	e perfonda ma e' non vi truova né ponte né guado né passaggio nullo	mais il n’i trueve pont ne gué ne passage nul	mais il ni trueue ne pont ne gue ne passaige nul	mais il ni troeue ne pont ne passage	mais il ny treuue pont ne gue ne passage nul	et ne treuue ne pont ne planche par ou il puisse passer
e cato dela otra parte Del agua	Ed elli isguarda d’altra parte dell’acqua	Et il regarde d’autre part de l’eve si voit I	et lors regarde il dautre part de leue	Et il regarde de lautre part de laigue si y uoit	et il regarde de lautrepart de leaue	Sy regarde de laultre part de leaue
				j		
e vio vn castillo muy bien asentado çercado de muy buen muro todo enderredor	si vide uno piccolo castello molto ben sedente chiuso d’uno muro battagliato tutto intorno alla ritonda	petit chastel molt bien seant clos de mur bateillié tot entor a la roonde	Si uoit	castel moult bien seant clos de mur bateillie tout entor a la reonde	si uoit ung petit chastel moult bien seant clos de mur bataille tout entour a la ronde	et uoit ung beau chastel monlt bien seant et bien cloz de muraille tout entour
e el cato gran pieça el castillo	eElli riguarda gran peza il castello	ll regarde grant piece le chastel	i petit chastelet mout bien feant	Il regarde le chastel grant piece	Il regarde grant piece le chastel	Il regarde le chastel grant pieche
ca mucho se pagaua delo catar	donde la fazion gli piace molto al riguardare poscia ritorna tutto contravalle la riviera per sapere se potrebbe trovare né ponte né guado ma	dont la façons li plest molt a regarder	qui estoit clos de murs batilliez de toutes pars enuiron a la roonde Il esgarde Longuement le chastel dont Ia fasons li plait mout a esgarder	dont la fachons li plaisoit moult a regarder	dont la facon luy plaist moult a regarder	car monlt luy plaisoit a uoir
e despues torno la rribera ayuso Por saber si podria fallar puente Por do pasase mas el no pudo fallar ninguna e boores desque esto vido no sabia	e non ve ne truova punto e quand’e vede che non potrà passare si non sa	puis s’en torne contreval la riviere por savoir s’il i peust trover ne pont ne gué mais il n’en trueve point et quant il voit qu’il n’i passera si ne set	et puis sen torne tot contreual la riuere Por sauoir se il i troueroit ne pont ne gue mais il nen i trurue point : si ne sot	puis sen torne contremont la riuiere pour sauoir se il troueroit ne pont ne gue mais il ni trueue nul passage Et quant il voit chou si ne set	puis sen retourne tout contreual la riuiere pour sauoir sil pourroit trouuer ne pont ne gue Mais il ny en treuue point Et quant il uoit quil ne puet passer si ne scet	puis sen tourne contre ual la riuiere pour scauoir sil pouroit trouuer ne pont ne gue par le quel il puisse passer mes il nen truue point Et il uoit ce si ne scait
que se façer ca el no se queria tomar en ninguna manera	che fare ché ritornare non vorebbe elli mica	que fere que retorner ne voldroit il mie	que faire car retorner ne wet il mie atant uoit issir une damoisele dou chastel	que faire quar retorner ne volroit il en nulle maniere	que faire car retourner ne uouldroit il pas	que faire car retourner ne uoulloit pas
Ansi estando vio del castillo salir vna donçella en camisa que traian quatro rribaldos muy sañudamente	Atanto vide uscire una damigella del castello ch’era tutta ignuda in sua camicia solamente si lla menavano iiii rubaldi molto villanamente	Atant voit issir del chastel une damoisele qui ert tote nue en sa chemise si le menoient troi vilain molt vilainement a	qui estoit tote nue en sa chemisse si la menoient iiii tre ribaus mout uilment	Lors uoit issir del castel vne damoisele toute nue en sa chemise si le menoient iiij ribaut moult felenessement	Adonc uoit yssir du chastel une damoisele qui estoit toute nue en sa chemise si la menoyent quatre nibaux moult uilainement	A tant uoit yssir une damoiselle du chastel la quelle estoit toute nue en sa chemise sy la menoient quatre ribaulx monlt felonneusement
e cadavno traia enla mano vna lança	e tenieno ciascuno una acciaia in sua mano	et tenoit chescuns une hache en sa main;	et tenoit chascuns une hache en sa main	et tenoit Cascuns en sa main i	et tenoit ch̃un une hache en sa main	et tenoient chascun en sa main ung coustel trenchant
e ella daua vozes quanto podia dar	Ed ella grida quanto ch’ella può gridare per coloro che lle facieno cotale onta	et ele crioit quanque ele pooit crier por els qui li faisoient tel honte	et ele crioit quantque le pooit crier por ciax qui li fasoient tele honte	coutel trenchant Et elle crioit quamque elle pooit por chiaus qui li faisoient tel laidure	et elle crioit tant quelle pouoit crier pour ceulx qui luy faisoient tel honte	Et la damoiselle crioit tant comme elle pouoit pour la laidure et honte
e ellos la lleuaron muy desonrrada mente contra la rribera porla yr ha echar	e tal ladiura ch’elli la menavano battendo tutto contravalle la riviera	et tel laidure qu’il la venoient batant tot contreval la riviere	et tel laidure que il la menoient batant tout contrtual la riuiere t	quar il lenmenoient tot contreual la riuiere batant	et telle laidure qui la uenoient batant tout contreual la riuiere	que telx ribaulx luy faisoient et la menoient batant contre ual la riuiere
e quando la donçella vio a bores dela otra parte del agua començo a dar vozes	E quando la damigella vide lo cavaliere dall’altra parte dell’acqua si gli comincia a gridare	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve si commence a crier Ha	quant la damoisele uoit le cheualier dautre part la riuiere si li comance a crier	Et quant elle vit le cheualier de lautre part de laigue si li commenche a crier	Et quant la damoisele uoit le cheualier de lautre part de leaue	Et quant la damoyselle uoit le cheualier de lautre coste de la ry uiere commenca a crier et dire en tell maniere Haa beau
e a deçir ay jentil cauallero acorred a esta donçella	Hal gentile huomo soccorete questa damigella	gentilz chevaliers secorés ceste damoisele	ha: gentis cheualiers secores ceste damoisele	Ha : gentils homs quar secoures ceste damoisele	si luy commence a crier haa gentili cheualier secourez ceste damoisele	et gentil cheualier secoures ceste damoiselle
que estos Ribaldos me quieren ansi matar ay buen cauallero si nunca oviste piedad de donçella auelda agora de mi e no me dexedes asi morir Quando boores oyo lo que la donçella deçia no supo	che questi rubaldi vogliono uccidere Hal franco cavaliere non mi lasciate uccidere se voi unque aveste piatà di nulla gentile damigella “Quando Boordo ode colei che l priega si piatosamente che lla soccorra si non sa	que cist ribaut vuelent ocirre Ha frans hom ne m’i laissiés morir se vos onques eustes pitié de nule gentil damoisele Quant Boors ot ce qu’ele li prie si pitousement qu'il la secore si ne set	que ciz ribaut wellet ocire ha; frans hons ne mi laissiez morir se uos eutes onques pitie de franche damosele quant boh̾ oit cele que si piteusement lapele et li prie quil la sekeure Sire set	que cist ribaut voelent ochirre Pour dieu ne mi laissies ore mie morir se vous eustes onques pitie de nulle damoisele ne de nulle gentil dame Quant bohors oy que la damoisele li prioit si piteusement de li secorre	que ces ribaux ueulent occire Haa franc homme ne me lessez mourir si uous eustes onc pitie de nulle gentilz damoisele quant boort ouy celle qui le prie si piteusement quil la sequeure il ne scait	que ces ribaulx ueullent occire haa franc homme fait elle me lesres uous ainsi mourir entre les mains de telx paillars et se uous pitie de moy car se uous ne me secoures ie suys a la mort liurer Et quant boort ouyt quelle le prioit si piteusement si ne scait
				si One sot		
que façer ca muy de grado la quisiera acorrer si pudiese Mas el agua hera muy fonda	che fare ché volentieri l’andasse ad atare se potesse ma e vede l’acqua nera e profonda	que fere kar volentiers li aidast s’il peust; mais il voit l’eve noire	que faire car uolentiers li alait aidier se il poist Mais il uoit leue si parfonde	que faire quar volentiers li alast aidier sil peust estre mais il voit laigue parfonde	que faire car uoulentiers luy alast aider sil peust mais il uoit leaue parfonde noire	que faire car uoulentiers luy allast aider se il peult estre mes il uoit la riuiere parfonde
e peligrosa e negra e bien cuidaua morir si se y Metiese e dela otra parte veya la donçella	e perigliosa che crede bene morire s’elli si mette di dentro e d’altra parte e vede colei	et parfonde et si perilluse qu’il cuide bien noier s’il se met dedens; et d'autre part il voit cele	et si perilleuse que il cuide bien perir se il se met dedans et dautre part il uoit cele	et perillouse et noire si quide bien morir se il si met Et dautre part voit il cels	et perilleuse que il cuide bien mourir sil si mect dedans Et dautre part il uoit celle	et dangereuse a passer et scait bien sil entre dedens qu il se met en peril de mort Et daultre part il uoit celle
que muy afincada mente le pedia merçed	che si duramente gli grida mercé	qui si durement crie merci;	qui si docemet li prie nc ci	qui si piteusement li crie merci	qui si fort luy crie mercy	qui si piteusement fui crie mercy
e ovo tal piedad della que le fiço todo el miedo perder	si ne gli prende tale piatà che ne lascia tutte paure	si l'em prent tels pitiés qu’il en laisse totes poors	Si len prent tes pitiez quil en laisse totes paours	si len prent tele pities quil en laisse toute paour	si luy en prent telle pitie quil en laisse toute paour	Si luy en prent telle pitie quil en laisse toute paour
e fiço la señal dela cruz sobre si e enbraço el escudo	e si fa el segno della santa croce nel miluogo del suo viso poscia imbraccia lo scudo	et fet le signe de la crois en mi son vis puis enbrace l’escu	Si fait le signe de la crois enmi son uis puis enbrace lescu	et met le signe de la vraie crois en mi son front et en mi son pis puis enbrace son escu	si en fait le signe de la croix enmy son uis puis embrace lescu	et fait le signe de la croix deuant son uisaige puys embrache son escu
e firio al cauallo de las espuelas	e broca il cavallo degli sproni	et broche le cheval des esperons	et broche le cheual des esperons	et fiert le cheual des esperons	et broche le cheual des esperons	et fiert son cheual des esperens
e lanço se en el agua e el cauallo començo de nadar	si fiede nell’acqua isnellamente El cavallo fu forte incominciò a notare	et se fiert en l’eve Et li chevals fu fors si commence a noer	et se fiert en leue tot errantment	et se lance en laigue Et li cheuaus commence a noier:	et se fiert erraument en leaue et le cheual fu fort si commence a nouer	et se lanche dedens leaue tout erraument: et le cheual commence a noer
luego e perdio tierra en tal manera	si tosto com'elli ebbe terra perduta	si tost com il ot terre perdue	Et li cheuaus fu fors	si tost quil a terre perdue	si tost quil eut terre perdue	si tost quil eust terre perdue
que paso dela otra parte del agua mas ante beuio el cauallo del agua e si el caballo tan bueno no fuera sin dubda el moriera enel agua	si ne l portò d’altra parte della riva a qualche pena 'ma inanzi furono amenduni tutti molli e se l cavallo non fosse stato	si l’enporte d’autre part de la rive a quelque paine mais ançois ot beu de l’eve li uns et li autre et se li chevals ne fust si buens	si comance a noer	si lenporte de lautre part a grant paine mes aincois ot beu de laigue li vns et li autres Et se li cheuaus ne fust si boins noie fussent ambedui Car li cheualiers estoit pesans	si lemporte de lautre part de ma riue a quelque peine mais ancois eut beu de leaue lun et lautre et se le cheual ne eust este si bon ilz fuszent tous deux noyez	et sen passe le cheual iusques de laultre part de leaue mes ce fust a grant paine car ains quilz feussent passes beurent de leaue lun et laultre et se le cheual neust este fort et bon ilz feussent noyes
		noié fuissent ambedui				
e boores porel peso delas armas que llebaua	si forte anegati fossono amenduni ché l cavaliere era pesante per l’arme ch’elli avea vestite	kar li chevaliers estoit pesans por les armes qu’il avoit vestues	si tost com il ot terre perdue	pour lez armes quil auoit uestues si en fu moult en peril uant bohors ot passe laigue pour la damoisele secorre ainsi que vous poes oir	car le cħlr estoit pesant pour les armes quil auoit uestues Quant il fu de lautre part de leaue	et lun et laultre car le cheualier estoit fort pesant pour les armes quil auoit uestues
e desque fue dela otra Parte del agua dexo se correr aquellos	Quand’e fu da l’altra parte dell’acqua si non discende passo anzi muove il cavallo inverso di coloro	Quant il fu de l’autre part de l’eve si ne descendi pas	si lenporte dautͤ part la riue a quelque painne Si ne descendi pas ains cort uers ciax	si ne descendi mie ains cort sus a chiaus	si ne descendy pas ains court uers ceulx	Quant il fut de lautre part de leaue si ne descendist oncques ains courust uers ceulx
		ains cort vers cels				
que la donçella tenian	che lla T tenieno	qui la damoisele tenoient	qui la damoisele renoient	qui la damoisele tenoient	qui tenoient la damoisele	qui la damoiselle tenoient:
e firio al primero que encontro en tal manera que le metio la lança porel cuerpo	e fiede si il primaio ch’elli agiugne che gli mette la lancia per me' il corpo si llo abatte a terra	et fiert si le premier qu’il aconsieut qu’il li met le glaive par mi le cors si l’abat a terre	que il consieut quil li met le glaiue parmi le cors si labat mort aterre	si fiert le premier quil encontre si durement quil li met le glaiue parmi le cors si labat a la terre	et fiert si fort le premier quil actaint quil luy mect le glaiue parmy le corps	et fiert tellement le premier quil encontre qu il lui met le glauie parmy le corps si labat a terre
e los otros dos que aquello vieron fuyeron	e gli altri se ne fugono tosto per ciò che disarmati erano	et li autre s’enfuient erraument por ce que desarmé estoient	et li autre sen fuient porre qu il estoient desarme	Et li autre senfuient pour chou que desarme estoient	si labat a terre	et les autres se met tent en fuite
luego por miedo de no ser muertos ca todos estauan desarmados	E la damigella	Et la damoisele	et la damaisele	Et la damoisele qui deliure se uoit	et les autres senfuyent erraument par ce qͥlz estoient desarme	La damoiselle
e la donçella desque aquello vido finco los ynojos ante boores e dixo ay jentil cauallero vendito seades de dios que asi me librastes de muerte	che si vide dilivera si mette a ginocchia davanti Boordo Hal gentile cavaliere diss’ella da Dio siate vo' benedetto quando vo m’avete di morte riscossa	qui delivree se voit se met a genols devant Boort et dist Ha gentils chevaliers de Dieu soiés vos beneois quant vos m’avés de mort rescosse	qui deliuree ce uoit se met a genous deuant boh̾ ha gentis cheualiers fait ele beneois soiez uos de dieu quant uos mauez de mort rescoce	se met maintenant a genouls deuant bohort et dist ha: gentiex cheualiers de dies oess vous beneois quar vous maues de mort rescousse	Et la damoisle qui se uoit deliure se mect a genoux deuant boort Haa gentilz cheualier fait elle de dieu soyez uous beneist dont uous mauez de mort rescousse	qui deliuree se sent se met a genoulx deuant lui et lui dit
e bendito sea dios que aqui vos traxo que estos villanos me hubieran muerto si por vos no fuera donçella dixo boores	e adorato ne sia lddio quand’elli in queste parti vo menò ché questi guiglioni m’avessono già morta se vo' non foste — Damigella disse Boordo perché Il vo dirò diss’ella bene ma'	et aorés en soit Diex quant il ceste part vos amena kar cist gloton m’euissent ja morte — Damoisele fet il	et aoures soit diex quant ils amena ceste part Car cil gloton meussent ia morte ce uos ne fussiez Damoisele fait il porcoi Sire fait ele ie le uos dirai bien	Et aoures en soit diex quant il ceste part vous amena Car cist glouton meussent morte se vous ne fuissies Damoisele ce dist bohors pourcoi vous voloient il mal faire Sire fait elle iou le vous dirai bien	et aoure en soit dieu dont il uous amena ceste part Car ces gloutons meussent ia occise se uous ne fussez Damoisele fait il pour quot Sire fait elle ie le uous diray bien mais que uous mayez mise a sauuete Comment fait il auez uous	Haa gentil cheualier de dieu soiez uous benoit: car ces gloutens me eussent occiz se ne feussez uous
		por quoi				
		— Sire fet ele				
Por que señor dixo ella yo vos lo dire mas ante conuiene que non aya miedo de ninguno Donzella dixo boores de quien auedes miedo señor dixo ella del señor del castillo ca es el mas follon omne de todo el mundo	che vo' m’abiate messa a salvamento — Come disse elli avete vo' dunque guardia Certo sire diss'ella già sicura non sarò tanto com’io sappia là entro il signore del castello ché ciò è il più fiero cavaliere del mondo	jel vos dirai bien mais que vos m’aiés mise a sauveté — Coment fet il Avés vos dont garde — Certes fet ele ja asseur ne seraî fant com je sache laiens le seignor del chastel kar c’est li plus fel chevaliers del monde	mais que uos maiez misse a Sauuete Coument fait il auez uos dont garde Certes sire faic ele ia a seur ne sera tant com ie saiche laiens le signeur de cest chastel Car cest li plus fel cheualiers dou monde	mais que vous maies mise a sauuete Comment fait il aues vous encore paour Sire fait elle ia asseuree ne serai tant que iou y sache le seignor del chastel : quar cest li plus fel cheualiers del monde	donc garde Certes sire fait elle ia ne seray asseuree tant que ie sache qui est le seigneur de ce chastel leans car cest le plus fel cheualier du monde Coment boort se combaty	Damoiselle fait il pour quoy Sire fait elle ie le uous diray
e mas cruel Ellos	e I più traditore	et li plus traîtres	et li plus traites	et li plus desloiaus	pour la damoisele	mais que uous me aiez mise a sauuete
				ches paroles voient		
asi fablando vieron salir del castillo vn caballero e quando vido a boores començo le a dar boçes	A queste parole vidono uscire un cavaliere del castello e là ov’egli vide Boordo si llo isgrida	A ces paroles voient issir I chevalier del chastel et la ou il vit Boort si li escrie Laissiés	a ces paroles uoit issir un cheualier del chastel et la ou il uoit behort si li est terre	j cheualier issir du castel Et la ou il voit bohors	A cest parole voyent yssir ung cheualier du chastel et la ou il uoit boors si luy crie laissez sire cheualier la damoisele que uous nemmennerrez pas	Comment fait il auez uous
					par mon chief mal la rescoussistes	
		dans chevaliers				
e a deçir don cauallero a dexar vos conuiene la donzella ca la non lleuaredes	Danzi cavaliere lasciate la damigella ché vonon la menere mica	la damoisele que vos n’enmenrois mie! Par mon chief mar le rescosistes	Laissiez dans cheualiers la damoisele que uos nen meneroie	si li escrie dans cheualiers laissies ester la damoisele quar vous ne lenmenrois pas	si luy court sus tant comme il puet le glayue esloigne Et boort le firrt si fort a son uenir	donc paour
e porla my cabeza ental Punto la acorristes e luego se dexaron correr el vno contra el otro	e per mio capo male la riscoteste Si gli corre suso quanto ch’elli puote la lancia islungata e Boordo il fiede si duramente in suo venire	Si li cort quanqu’il puet le glaive alongié; et Boors retrait son glaîve a lui del cors a celui qu’il avoit ocis; si laisse le cheval corre	et par mon chief mar la rescousites Si li acort quanquil puet le glaiue alongnre	et par mon chief mar le rescousistes quar vous le comperres se iou puis moult chier	que lescu ne le haubert ne le garantist quil ne luy mecte fer et fust parmy le corps Et cil cheit a terre tout estandu car plus na mestier de mire	Sire fait elle ia seure ne seray
e boores lo firio conla lança que auia sacado del cuerpo del villano	che llo scudo né llo asbergo no llo guerentisce che non gli metta per me' il corpo	et le fiert si tres durement qu’il l’abat a terre si estordi qu’il n’a pooir de relever ains gist pasmés	et behors retrait son glaiue del cors au ribaut que il auoit ocis Si li laisse le cheual	Et quant bohors lentent si point vers lui quanque il pot del cheual traire le glaiue alongie quil auoit trait del cors a celui quil auoit ochis Si fiert celui	Et quant ceulx du chastel uoyent leur cheualier ainsi abatu si luy en enuoyent incontinant ung autre pour uenger celuy qui dist a boort quil se gardast de luy quil le deffioit	tant que ie sache leans le seigneur de ce chasteau
que auia muerto en tal manera	e ferro e fusto	kar il chai si felenessement qu’a poi	et le fiert si durement quil labat a terre	si durement quil labat a terre si estordi quil not pooir de lui releuer	et il dist quil le desfie aussi	car cest le plus fel cheualier du monde
			si estordi			
que dio conel Porlas ancas del cauallo a tierra	e que' cade a terra tutto isteso che più nonn à mestier di medico	que la canole del col n'avoit brisee	que cil na pooir de releuer Ains fu pasmes	Ains iut illueques tous pasmes quar il cai	Lors trait son glayue du corps a celuy quil auoit occis si luy laisse aller le cheual	et le plus cruel Ces parolles uoient issir ung cheualier du chasteau:
asi estordido que non se pudo leuantar	E quando que del castello vidono insi lor cavaliere abatuto si ve ne rimandarono immantanente uno altro per quello vendicare che disse a Boordo che ssi guardi da llui ch’elli il disfida ed e' dice	Et Boors li vet a cheval par desus le cors tant que tot le debrise Et lors est la damoisele si liee qu’ele ne puet plus	Car il fu cheus si uilainnement qua pou quil not la chenole dou col bͥsie et behors li ua a cheual par desus le cors	si felenessement que a poi que la canoele del col ne li est brisie Et bohors li uait tout a cheual par desus le cors	et le fier si fort quil labat a terre si estourdy quil na pouoir de se releuer	et la ou il uoit boort il lui escrie
